障碍物: ['A3B6', 'A4B6', 'A5B6']
路径长度: 67 步
----------------------------------------
步骤 0: A9B1
步骤 1: A9B2
步骤 2: A9B3
步骤 3: A9B4
步骤 4: A9B5
步骤 5: A9B6
步骤 6: A9B7
步骤 7: A8B7
步骤 8: A8B6
步骤 9: A8B5
步骤 10: A8B4
步骤 11: A8B3
步骤 12: A8B2
步骤 13: A8B1
步骤 14: A7B1
步骤 15: A7B2
步骤 16: A7B3
步骤 17: A7B4
步骤 18: A7B5
步骤 19: A7B6
步骤 20: A7B7
步骤 21: A6B7
步骤 22: A6B6
步骤 23: A6B5
步骤 24: A6B4
步骤 25: A6B3
步骤 26: A6B2
步骤 27: A6B1
步骤 28: A5B1
步骤 29: A5B2
步骤 30: A5B3
步骤 31: A5B4
步骤 32: A5B5
步骤 33: A4B5
步骤 34: A4B4
步骤 35: A4B3
步骤 36: A4B2
步骤 37: A4B1
步骤 38: A3B1
步骤 39: A3B2
步骤 40: A3B3
步骤 41: A3B4
步骤 42: A3B5
步骤 43: A2B5
步骤 44: A2B6
步骤 45: A2B7
步骤 46: A1B7
步骤 47: A1B6
步骤 48: A1B5
步骤 49: A1B4
步骤 50: A1B3
步骤 51: A1B2
步骤 52: A1B1
步骤 53: A2B1
步骤 54: A2B2
步骤 55: A2B3
步骤 56: A2B4
步骤 57: A3B4
步骤 58: A2B4
步骤 59: A2B7
步骤 60: A3B7
步骤 61: A4B7
步骤 62: A5B7
步骤 63: A9B7
步骤 64: A2B7
步骤 65: A2B1
步骤 66: A9B1
