epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26643,0.78827,2.94094,1.11911,0.00333,1,0.189,0.16881,0.44195,2.80911,0.75327,2e-05,2e-05,2e-05
2,7.65468,0.67005,2.93522,1.02506,0.00333,1,0.62,0.47632,0.4121,2.77342,0.7291,5.9604e-05,5.9604e-05,5.9604e-05
3,11.0112,0.64809,2.5305,0.95576,0.00333,1,0.995,0.88908,0.38689,2.71632,0.71026,9.868e-05,9.868e-05,9.868e-05
4,14.3106,0.67075,2.30281,1.0046,0.00333,1,0.995,0.87873,0.4656,2.62838,0.7084,0.000137228,0.000137228,0.000137228
5,17.635,0.58907,1.86758,0.94309,0.00333,1,0.995,0.88677,0.49095,2.5871,0.72601,0.000175248,0.000175248,0.000175248
6,20.9372,0.50969,1.55688,0.85694,0.00333,1,0.995,0.85376,0.52693,2.48098,0.74302,0.00021274,0.00021274,0.00021274
7,24.2495,0.43521,1.1795,0.83642,0.0125,1,0.995,0.88677,0.51423,2.36599,0.76263,0.000249704,0.000249704,0.000249704
8,27.5586,0.52802,1.08442,0.89402,0.95996,1,0.995,0.88677,0.5427,2.19139,0.8161,0.00028614,0.00028614,0.00028614
9,30.7918,0.5105,1.25591,0.99173,0.92887,1,0.995,0.83922,0.59622,2.06393,0.86903,0.000322048,0.000322048,0.000322048
10,34.0691,0.52085,0.99338,0.87947,1,0.98978,0.995,0.83306,0.66995,1.93003,0.81468,0.000357428,0.000357428,0.000357428
11,37.3543,0.56552,1.28914,0.90601,1,0.9866,0.995,0.82056,0.67922,1.92993,0.83096,0.00039228,0.00039228,0.00039228
12,40.5881,0.49343,1.20371,0.87549,1,0.9866,0.995,0.82056,0.67922,1.92993,0.83096,0.000426604,0.000426604,0.000426604
13,43.8467,0.53361,1.14021,0.91806,1,0.99798,0.995,0.78332,0.69116,1.96971,0.84331,0.0004604,0.0004604,0.0004604
14,47.1282,0.57937,1.06212,0.89275,0.99846,1,0.995,0.85376,0.69215,2.2062,0.85425,0.000493668,0.000493668,0.000493668
15,50.2995,0.63234,0.99541,0.90395,0.99846,1,0.995,0.85376,0.69215,2.2062,0.85425,0.000526408,0.000526408,0.000526408
16,53.5758,0.57529,1.11785,0.89848,1,0.77299,0.995,0.85785,0.62804,2.34098,0.8235,0.00055862,0.00055862,0.00055862
17,56.8344,0.60649,1.23593,0.90413,1,0.92237,0.995,0.85785,0.65392,2.1869,0.82493,0.000590304,0.000590304,0.000590304
18,60.0583,0.615,1.26109,0.92596,1,0.92237,0.995,0.85785,0.65392,2.1869,0.82493,0.00062146,0.00062146,0.00062146
19,63.2767,0.69312,1.20896,0.97366,0.96014,1,0.995,0.84541,0.60738,1.96075,0.7667,0.000652088,0.000652088,0.000652088
20,66.4871,0.59237,1.19779,0.91314,0.96014,1,0.995,0.84541,0.60738,1.96075,0.7667,0.000682188,0.000682188,0.000682188
21,69.6789,0.59365,1.13686,0.95197,1,0.99471,0.995,0.80407,0.61891,1.51292,0.74189,0.00071176,0.00071176,0.00071176
22,72.9282,0.51634,1.04377,0.89193,1,0.99471,0.995,0.80407,0.61891,1.51292,0.74189,0.000740804,0.000740804,0.000740804
23,76.1391,0.54977,1.19762,0.92341,1,0.99371,0.995,0.77923,0.74494,1.32977,0.77166,0.00076932,0.00076932,0.00076932
24,79.3096,0.68068,1.01315,0.94163,1,0.99371,0.995,0.77923,0.74494,1.32977,0.77166,0.000797308,0.000797308,0.000797308
25,82.5818,0.55781,0.97249,0.88692,1,0.99766,0.995,0.76852,0.89558,1.31245,0.87179,0.000824768,0.000824768,0.000824768
26,85.8858,0.67416,1.11882,1.03213,1,0.99766,0.995,0.76852,0.89558,1.31245,0.87179,0.0008517,0.0008517,0.0008517
27,89.1456,0.55289,1.13852,0.96429,1,0.99766,0.995,0.76852,0.89558,1.31245,0.87179,0.000878104,0.000878104,0.000878104
28,92.3842,0.54749,1.08978,0.88065,1,0.95268,0.995,0.76215,0.90559,1.51921,0.92384,0.00090398,0.00090398,0.00090398
29,95.6189,0.64953,1.1974,0.90534,1,0.95268,0.995,0.76215,0.90559,1.51921,0.92384,0.000929328,0.000929328,0.000929328
30,98.8857,0.61055,1.01115,0.89995,0.76176,1,0.845,0.63477,0.84182,1.88063,0.85643,0.000954148,0.000954148,0.000954148
31,102.118,0.55153,1.32624,0.87997,0.76176,1,0.845,0.63477,0.84182,1.88063,0.85643,0.00097844,0.00097844,0.00097844
32,105.369,0.6349,1.11926,0.91235,0.76176,1,0.845,0.63477,0.84182,1.88063,0.85643,0.0010022,0.0010022,0.0010022
33,108.657,0.5338,0.95417,0.86561,0.79891,0.99456,0.845,0.64086,0.97166,2.1147,0.90865,0.00102544,0.00102544,0.00102544
